# sfc, ifc, f_initial, Bfrac, max, mean, m, c, tau
-8.879999999999999716e+01, -6.521739130434782794e+01, 4.600000000000000000e+01, 1.184522505345747805e-03, 2.382663190132536002e+01, 1.511425907104981015e+01, -8.258029111155158475e+00, 2.958949260368966350e+01, 2.082075575575575710e-01
-4.160000000000000142e+01, 1.000000000000000000e+02, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
-9.440000000000000568e+01, -2.142857142857142705e+01, 2.800000000000000000e+01, 1.357679752952697895e-03, 1.800503576004771844e+01, 9.670531536738730338e+00, -1.544498449648764593e+00, 1.678434560090995831e+01, 2.018011711711711620e-01
-9.600000000000000000e+01, -6.250000000000000000e+01, 1.600000000000000000e+01, 9.099918449030755313e-05, 1.896607165220462932e+01, 8.656518832517255291e+00, -8.354701950133978983e+00, 2.753812862365352032e+01, 6.214194794794795085e-01
-8.879999999999999716e+01, 0.000000000000000000e+00, 4.000000000000000000e+01, 2.292872443157920135e-03, 2.421729357579871333e+01, 1.924980324975811641e+01, -2.466970901474191624e+00, 2.603650991492557409e+01, 3.171161261261261077e-01
-8.640000000000000568e+01, -1.363636363636363491e+01, 4.400000000000000000e+01, 1.745126179848077459e-03, 2.272698640055422104e+01, 1.771452432468991489e+01, 2.699436342026234614e-01, 2.189280918967843448e+01, 2.082075575575575710e-01
0.000000000000000000e+00, -6.000000000000000000e+01, 1.000000000000000000e+01, 4.525498124704654783e-04, 7.234904509724262134e+00, 3.847964971323043049e+00, -1.018363271119576252e+00, 7.499676174801169104e+00, 4.132119219219219097e-01
0.000000000000000000e+00, -4.285714285714285410e+01, 1.400000000000000000e+01, 3.895582436302179145e-04, 1.055708932818968293e+01, 5.931509654615688021e+00, -6.822408785837114076e-01, 9.713701093670628950e+00, 2.498490690690690630e-01
0.000000000000000000e+00, 8.695652173913043015e+00, 4.600000000000000000e+01, 1.998303048378299949e-03, 2.647179332508591543e+01, 2.166471471637931145e+01, 1.196563458064229701e+00, 2.407952630792419413e+01, 2.338331031031030960e-01
-9.600000000000000000e+01, -8.333333333333334281e+01, 1.200000000000000000e+01, 1.237033825155764476e-03, 8.593282962908924461e+00, 3.220760838929819680e+00, -2.093776192981461115e+00, 7.563903767034169334e+00, 1.761756256256256370e-01
0.000000000000000000e+00, 8.750000000000000000e+01, 1.600000000000000000e+01, 1.766220368983200534e-03, 1.742626098575878757e+01, 9.584562117818991922e+00, 3.418780465440487859e+00, 9.240834870794408573e+00, 7.143120820820820782e-01
0.000000000000000000e+00, -1.000000000000000000e+02, 1.200000000000000000e+01, 9.788500304250709588e-04, 8.253074388116875326e+00, 5.197822323243506126e+00, -1.073238381138766462e+00, 9.093010058771007209e+00, 4.516502402402402527e-01
-9.279999999999999716e+01, -1.000000000000000000e+02, 2.000000000000000000e+01, 8.622280147752517368e-09, 1.266827983745841379e+01, 2.862697551902159798e+00, -5.866541704093223508e+00, 1.614473813147346704e+01, 3.139129329329329310e-01
-9.679999999999999716e+01, -5.000000000000000000e+01, 2.400000000000000000e+01, 1.989496214512556475e-03, 1.249416468291427229e+01, 6.926853058200603819e+00, -2.961260684043843128e+00, 1.345753533469623164e+01, 1.313309209209209127e-01
-9.520000000000000284e+01, 2.000000000000000000e+02, 2.000000000000000000e+00, 4.085910773229340876e-07, 5.712814962441183475e+00, 1.788679745178579417e+00, 1.643859732180772859e+00, 1.454713663306988369e+00, 1.761756256256256314e+00
-9.920000000000000284e+01, 5.000000000000000000e+01, 4.000000000000000000e+00, 1.040852357560567406e-03, 1.156271365217784464e+01, 4.974442950370360883e+00, -1.843604217746094009e-01, 6.399825838535242895e+00, 9.129100600600600357e-01
-8.720000000000000284e+01, -9.000000000000000000e+01, 4.000000000000000000e+01, 3.465090435962124273e-05, 2.252260688481040063e+01, 6.315295032090300964e+00, -1.013974575645041654e+01, 2.849839854956836405e+01, 3.042805305305305019e-01
0.000000000000000000e+00, 0.000000000000000000e+00, 1.600000000000000000e+01, 1.300345132230501998e-03, 1.329915465304494759e+01, 6.917822842514481430e+00, 1.536474745143313891e-01, 9.291179966244232702e+00, 7.783175675675675365e-01
-8.400000000000000000e+01, -1.875000000000000000e+01, 3.200000000000000000e+01, 1.408878681822126229e-03, 1.823622436221640442e+01, 9.995151219436046119e+00, -1.044918480686609641e+00, 1.672834151982841888e+01, 2.722510010010009696e-01
-8.879999999999999716e+01, -1.000000000000000000e+02, 4.000000000000000000e+00, 4.615308803366023635e-06, 3.949816609644496435e+00, 1.399261019345303225e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.409299299299299202e-01
0.000000000000000000e+00, -2.727272727272726982e+01, 2.200000000000000000e+01, 1.983823196355542513e-03, 1.441982599383811348e+01, 9.726563444033677897e+00, -2.805828858688169669e-01, 1.278824996314638263e+01, 1.953801301301301141e-01
